case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,negscore,rolling,label_negscore_rolling,190310,173509,159915,13594,0.8977878198728391,0.8910258257496729,0.8976623757522731,4617.331948198653,0.8973016915236219,0.8171987641606591,4684.9882249945285,3821.4474768280124,-0.08010292736296287
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,negscore,static,label_negscore_static,190310,173509,159915,13594,0.8335452682465451,0.8228045807422093,0.830190629855921,2422.279328449821,0.8268955382546979,0.7746800058849492,2415.816815183066,2498.302045019862,-0.05221553236974863
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,softmax,expanding,label_softmax_expanding,190310,173509,159915,13594,0.9351006252955704,0.934602815992254,0.9402372842468169,6983.794108662951,0.9444392333427133,0.8188906870678241,7049.089610105369,6215.680962189201,-0.1255485462748892
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,softmax,rolling,label_softmax_rolling,190310,173509,159915,13594,0.9868109925910357,0.9868825248258015,0.9881094544567333,9579.35571065478,0.9891379795516368,0.9603501544799176,9597.47026232686,9366.262542298073,-0.028787825071719286
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,label,softmax,static,label_softmax_static,190310,173509,159915,13594,0.7998791445536231,0.7984081517385265,0.8122930632231302,2475.288296284343,0.8220242003564393,0.5205973223480947,2597.0493637244786,1042.934235692217,-0.30142687800834456
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,query_max,margin,expanding,query_max_margin_expanding,190310,173509,159915,13594,0.8472176974410173,0.8463192111072048,0.8585636605948233,3201.173668224703,0.8673983053497171,0.5983522142121525,3353.7285120220117,1406.5725319994115,-0.2690460911375646
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,query_max,margin,rolling,query_max_margin_rolling,190310,173509,159915,13594,0.898707372182229,0.8984144914673015,0.908221790949344,4494.9719841622045,0.9155426320232624,0.6969251140208915,4693.176418722446,2163.365234662351,-0.21861751800237084
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,43,0.3,query_max,margin,static,query_max_margin_static,190310,173509,159915,13594,0.797288634333456,0.7960048181938689,0.8099091330907836,2502.636756594759,0.8198230309852109,0.5158158010887156,2625.458280961761,1057.8078564072384,-0.3040072298964953
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.8455782670379907,0.8428093067218415,0.8550618661222433,2804.5033283576067,0.8624894475189945,0.6112991025452406,2939.414801613357,1217.4525525967338,-0.2511903449737539
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.9002206925542536,0.8991003348529472,0.9082460978171,4152.548081079368,0.9143044742519464,0.7202442253935559,4336.622774599005,1987.1585993820804,-0.19406024885839046
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.797971730334717,0.7942527476960849,0.8080779003965985,2199.096934452968,0.8159772379076384,0.5386935412682066,2307.0229934652784,929.4930116227747,-0.27728369663943186
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8782985654983974,0.8705254482476413,0.8785555561709826,2808.3533764819117,0.8784291654941688,0.7775489186405767,2859.282056092299,2209.246432249522,-0.10088024685359209
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8992853764909884,0.8928355301454103,0.8998713572725585,3601.918949449308,0.9000156333051934,0.8083713402971899,3657.137335459463,2952.349418861262,-0.09164429300800347
