run,dataset_mode,model_name,negative_sampling,seed,method,deletion_rate,coverage_change_vs_delete0,mean_size_change_vs_delete0,mrr_change_vs_delete0
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,kgcp_softmax_static,0.3,-0.0003835846776,657.4394514,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,rolling_margin,0.3,0.0002679838159,866.2767642,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,static_margin,0.3,0.002191161789,664.7004992,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,top1,0.3,0.004124848931,0,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,weighted,0.3,0.0002417108928,867.6268614,0.0001615724477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,adaptive,0.3,0.0006673322474,740.7527823,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,kgcp_minmax_static,0.3,0.009915401188,181.9384741,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,kgcp_negscore_static,0.3,0.0004046030161,61.42429194,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,kgcp_softmax_static,0.3,-0.002044033419,471.7071935,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,rolling_margin,0.3,0.000252220062,729.5766486,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,static_margin,0.3,-0.001712994588,457.8224949,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,top1,0.3,0.002338290158,0,-0.001765387171
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,weighted,0.3,0.0003888392623,732.2450265,-0.001765387171
