run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,timestamp_count,query_count,timestamp_macro_coverage,coverage,mean_size,mrr,frequency_mrr
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,rolling_margin,73,38596,0.9000733496,0.8995232667,3831.440797,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,static_margin,73,38596,0.823648598,0.8270805265,2744.955073,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,top1,73,38596,0.2327230265,0.2295315577,1,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,weighted,73,38596,0.8994249536,0.8988755311,3817.6275,0.3173788549,0.09191674573
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,adaptive,73,38596,0.8989457206,0.8982796145,3804.160535,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_minmax_static,73,38596,0.9015437355,0.9014664732,2074.15911,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_negscore_static,73,38596,0.9029350427,0.902684216,2987.729557,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,73,38596,0.821616712,0.8254223236,2732.100839,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,rolling_margin,73,38596,0.8999104336,0.899238263,3821.718883,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,static_margin,73,38596,0.8203840815,0.8242045808,2777.085061,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,top1,73,38596,0.2276958302,0.2245569489,1,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,weighted,73,38596,0.8989457206,0.8982796145,3804.160535,0.310552887,0.0919106766
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,adaptive,73,38596,0.8987952454,0.8979946108,3580.592782,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_minmax_static,73,38596,0.8992518176,0.8987978029,2047.225956,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_negscore_static,73,38596,0.8949709183,0.8948336615,2797.21725,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_softmax_static,73,38596,0.8121765001,0.8158617473,2396.660302,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,rolling_margin,73,38596,0.8997057168,0.8989014406,3596.946523,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,static_margin,73,38596,0.8130796338,0.8167167582,2441.465437,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,top1,73,38596,0.2316502757,0.2284951808,1,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,weighted,73,38596,0.8987952454,0.8979946108,3580.592782,0.3200043524,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,adaptive,73,38596,0.8977363591,0.8977873355,3623.545108,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_minmax_static,73,38596,0.9000485229,0.89892735,2214.972173,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_negscore_static,73,38596,0.8971789834,0.8963882268,2979.149523,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,73,38596,0.8118898276,0.8153694683,2431.790911,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,rolling_margin,73,38596,0.8986447724,0.8986682558,3635.93318,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,static_margin,73,38596,0.8127254964,0.8164317546,2478.188621,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,top1,73,38596,0.229845436,0.226655612,1,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,weighted,73,38596,0.8980625177,0.8980723391,3626.437506,0.3179292923,0.09261747554
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,adaptive,73,38596,0.8980503068,0.8978650637,3825.528138,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_minmax_static,73,38596,0.9014025433,0.9009741942,2231.508291,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_negscore_static,73,38596,0.8968056825,0.8958700383,2818.81682,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,73,38596,0.8131947946,0.8175458597,2635.769924,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,rolling_margin,73,38596,0.8991773198,0.8990828065,3843.944036,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,static_margin,73,38596,0.8140012518,0.8186340553,2687.942118,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,top1,73,38596,0.2282997151,0.2259301482,1,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,weighted,73,38596,0.8980469712,0.8978909732,3825.474764,0.3146801049,0.09262634042
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,adaptive,73,38596,0.8991206009,0.8991087159,3844.391206,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_minmax_static,73,38596,0.9018619273,0.9019328428,2324.107291,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_negscore_static,73,38596,0.8966417261,0.8964141362,2859.420173,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,73,38596,0.817373587,0.8225204684,2757.580993,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,rolling_margin,73,38596,0.90029962,0.9002746399,3865.246969,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,static_margin,73,38596,0.816712559,0.8220281894,2809.167297,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,top1,73,38596,0.2257262312,0.223209659,1,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,weighted,73,38596,0.8991206009,0.8991087159,3844.387994,0.3105396362,0.09260947417
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,adaptive,73,38596,0.8981085445,0.8979168826,3734.594362,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_minmax_static,73,38596,0.9056090771,0.9056637994,2201.727847,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_negscore_static,73,38596,0.8983007743,0.8986164369,2870.792129,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_softmax_static,73,38596,0.8151531108,0.8191004249,2497.235698,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,rolling_margin,73,38596,0.8994717971,0.8992123536,3760.710125,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,static_margin,73,38596,0.815082825,0.8187895119,2525.043839,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,top1,73,38596,0.2285308234,0.2257487823,1,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,weighted,73,38596,0.8981085445,0.8979168826,3734.594362,0.3172826269,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,adaptive,73,38596,0.8998390259,0.8993419007,3829.808607,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_minmax_static,73,38596,0.901535641,0.9008446471,2116.099959,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_negscore_static,73,38596,0.8985328693,0.8984091616,2797.180718,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,73,38596,0.8176910204,0.8209140844,2614.534434,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,rolling_margin,73,38596,0.900837981,0.9003264587,3847.419059,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,static_margin,73,38596,0.81661604,0.8200072546,2656.578972,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,top1,73,38596,0.2294862991,0.2272256192,1,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,weighted,73,38596,0.8998390259,0.8993419007,3829.808607,0.3179555159,0.09260795702
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,adaptive,73,38596,0.8993969491,0.8992641725,3795.78876,0.3157958645,0.09260162129
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_minmax_static,73,38596,0.900242564,0.9008705565,2311.372888,0.3157958645,0.09260162129
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_negscore_static,73,38596,0.8994620894,0.8996269043,3050.677946,0.3157958645,0.09260162129
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,73,38596,0.8109043365,0.8147217328,2543.489714,0.3157958645,0.09260162129
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,rolling_margin,73,38596,0.8997956972,0.8996269043,3805.221733,0.3157958645,0.09260162129
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,static_margin,73,38596,0.8118698409,0.8158876568,2579.310602,0.3157958645,0.09260162129
