run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,multi_query_count,full_set_coverage_multi_minus_single,partial_recall_multi_minus_single,mean_size_multi_minus_single
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,static_margin,13594,-0.2630026901,-0.08931379231,-1246.391185
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,13594,-0.2823212628,-0.1074893352,-1326.738694
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,rolling_margin,13594,-0.1913494885,-0.07615920474,-2291.439489
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,static_margin,13594,-0.2871304152,-0.109197855,-1336.460132
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,13594,-0.2705332805,-0.1041775985,-1396.760432
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,rolling_margin,13594,-0.1900665335,-0.07556769943,-2306.35691
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,static_margin,13594,-0.2728167703,-0.1060246212,-1406.973147
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,kgcp_softmax_static,13594,-0.2883123994,-0.1181348945,-1541.266049
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,rolling_margin,13594,-0.2064309203,-0.08461680454,-2437.377997
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,static_margin,13594,-0.2920351772,-0.1205678876,-1545.733525
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0,kgcp_softmax_static,13594,-0.3214666243,-0.1476688221,-1715.318949
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0,rolling_margin,13594,-0.241520381,-0.1120149263,-2699.96967
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0,static_margin,13594,-0.3215081242,-0.1484888517,-1742.125725
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0.3,kgcp_softmax_static,13594,-0.3011553673,-0.1308508089,-1607.85177
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0.3,rolling_margin,13594,-0.2213675017,-0.0988293748,-2613.511121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,0.3,static_margin,13594,-0.3018596066,-0.1315825464,-1622.039014
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0,kgcp_softmax_static,13594,-0.279672237,-0.1133537659,-1252.24377
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0,rolling_margin,13594,-0.2090695968,-0.08808981379,-2299.978263
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0,static_margin,13594,-0.2817126426,-0.1147401714,-1278.144662
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0.3,kgcp_softmax_static,13594,-0.2958726754,-0.1186100085,-1524.956512
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0.3,rolling_margin,13594,-0.215881857,-0.09294135839,-2510.636524
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,0.3,static_margin,13594,-0.2948036987,-0.1175158105,-1542.950072
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,0,kgcp_softmax_static,13594,-0.2660139512,-0.09039676664,-1248.960365
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,0,rolling_margin,13594,-0.1894948665,-0.07114442393,-2232.142099
