dataset_mode,model_name,seed,deletion_rate,method,filtered_run,uniform_run,coverage_filtered_minus_uniform,mean_size_filtered_minus_uniform,mrr_filtered_minus_uniform
icews14,continuous_tcomplex,71,0,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.003083221059,-42.11721422,0.001143538449
icews14,continuous_tcomplex,71,0,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0005700072546,22.01132242,0.001143538449
icews14,continuous_tcomplex,71,0,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001425018137,57.9620427,0.001143538449
icews14,continuous_tcomplex,71,0,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0007513731993,86.48621619,0.001143538449
icews14,continuous_tcomplex,71,0,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0004145507306,44.06112032,0.001143538449
icews14,continuous_tcomplex,71,0,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001425018137,0,0.001143538449
icews14,continuous_tcomplex,71,0,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0001036376827,96.63589491,0.001143538449
icews14,continuous_tcomplex,71,0.3,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.000932739144,32.09990673,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0001036376827,65.97657788,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0008291014613,-11.18706602,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.003990050782,-21.46839051,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001036376827,32.98087885,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.002850036273,-12.25479324,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.001243652192,0,-0.0006395515527
icews14,continuous_tcomplex,71,0.3,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0008031920406,32.25251321,-0.0006395515527
