case,dataset_mode,model_name,deletion_rate,family,comparison,metric,left_method,right_method,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,block_length,iterations,seed_count,timestamp_count,excluded_timestamp_count,weighting
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.007042751148,-0.008901495189,-0.005030090734,1,4.999750012e-05,21,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-123.2478094,-164.9062417,-83.00355851,1,4.999750012e-05,3,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-123.2478094,-164.5909119,-82.89009899,1,4.999750012e-05,7,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-123.2478094,-159.7561663,-85.64727596,1,4.999750012e-05,14,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-123.2478094,-156.9596696,-86.2979375,1,4.999750012e-05,21,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.01124137379,-0.01720847395,-0.005347504179,0.9999500025,9.999500025e-05,3,20000,5,73,0,timestamp_macro
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.01124137379,-0.01724198213,-0.005103325307,0.9997500125,0.0002999850007,7,20000,5,73,0,timestamp_macro
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.01124137379,-0.01756989752,-0.004674922475,0.999300035,0.0007499625019,14,20000,5,73,0,timestamp_macro
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.01124137379,-0.01707521014,-0.004963820582,0.9992500375,0.000799960002,21,20000,5,73,0,timestamp_macro
icews14_distmult,icews14,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.008079142622,-0.01059626936,-0.005596376571,1,4.999750012e-05,3,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.008079142622,-0.01067763036,-0.005790610327,1,4.999750012e-05,7,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.008079142622,-0.01074818593,-0.005883197508,1,4.999750012e-05,14,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.008079142622,-0.01054315223,-0.006032864657,1,4.999750012e-05,21,20000,5,73,0,query_count
