case,dataset_mode,model_name,deletion_rate,family,comparison,metric,block_length,seed,observed,weighting
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,71,0.08084914088,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,3,17,0.1061789302,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,3,29,0.105066596,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,3,43,0.09981614787,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,3,59,0.1005999689,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,3,71,0.1011820712,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,7,17,0.1061789302,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,7,29,0.105066596,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,7,43,0.09981614787,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,7,59,0.1005999689,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,7,71,0.1011820712,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,14,17,0.1061789302,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,14,29,0.105066596,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,14,43,0.09981614787,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,14,59,0.1005999689,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,14,71,0.1011820712,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,17,0.1061789302,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,29,0.105066596,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,43,0.09981614787,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,59,0.1005999689,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,71,0.1011820712,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,17,0.1051074563,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,29,0.1036361726,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,43,0.09850769797,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,59,0.097609164,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,71,0.1008670065,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,17,0.1051074563,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,29,0.1036361726,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,43,0.09850769797,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,59,0.097609164,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,71,0.1008670065,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,17,0.1051074563,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,29,0.1036361726,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,43,0.09850769797,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,59,0.097609164,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,71,0.1008670065,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,17,0.1051074563,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,29,0.1036361726,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,43,0.09850769797,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,59,0.097609164,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,71,0.1008670065,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,17,2174.282792,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,29,1986.315897,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,43,2027.834844,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,59,1917.093528,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,71,2024.880358,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,17,2174.282792,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,29,1986.315897,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,43,2027.834844,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,59,1917.093528,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,71,2024.880358,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,17,2174.282792,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,29,1986.315897,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,43,2027.834844,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,59,1917.093528,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,71,2024.880358,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,17,2174.282792,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,29,1986.315897,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,43,2027.834844,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,59,1917.093528,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,71,2024.880358,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,17,0.06160742046,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,29,0.06612084154,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,43,0.06794486475,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,59,0.06236915743,label_count
