seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate,target_coverage,selection_tolerance,selection_candidate,selection_candidate_k_reg,selection_candidate_penalty
29,0,margin_rolling,330,17.64236116,score_margin,1000,2,640,580,0.8921875,0.9,0.9087643678,3553.884483,2106,7128,0.02413793103,0.2896551724,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,331,17.41583443,score_margin,1000,2,506,474,0.8853754941,0.8860759494,0.8918776371,3412.521097,1691.5,7128,0.01687763713,0.2742616034,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,332,17.1524601,score_margin,1000,2,318,300,0.8836477987,0.8866666667,0.8938888889,3248.803333,1129,7128,0.02666666667,0.2733333333,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,333,17.15972137,score_margin,1000,3,342,312,0.8713450292,0.8717948718,0.8851495726,3374.426282,1816,7128,0.03205128205,0.3044871795,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,334,17.00077248,score_margin,1000,3,700,633,0.8814285714,0.8862559242,0.8980252765,3219.988942,1236,7128,0.03791469194,0.2654028436,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,335,17.30238914,score_margin,1000,2,656,587,0.8643292683,0.8654173765,0.8796706417,3359.177172,1335,7128,0.02044293015,0.2844974446,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,336,18.24623489,score_margin,1000,2,632,551,0.871835443,0.8711433757,0.8869328494,3779.019964,5091,7128,0.02177858439,0.2994555354,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,337,18.3590765,score_margin,1000,2,552,492,0.8876811594,0.8943089431,0.9071138211,3623.473577,3858.5,7128,0.01422764228,0.2926829268,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,338,18.4896363,score_margin,1000,2,496,457,0.8790322581,0.8905908096,0.8993435449,3660.282276,3948,7128,0.01531728665,0.306345733,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,339,18.26382183,score_margin,1000,2,328,297,0.8658536585,0.8585858586,0.8731762065,3192.454545,1249,7128,0.0404040404,0.2121212121,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,340,18.57720792,score_margin,1000,3,328,303,0.8719512195,0.8844884488,0.897139714,3503.178218,2128,7128,0.02310231023,0.3069306931,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,341,18.63998795,score_margin,1000,3,576,519,0.8802083333,0.894026975,0.9056518947,3755.830443,5184,7128,0.01926782274,0.2986512524,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,342,18.63998795,score_margin,1000,3,636,565,0.8710691824,0.8672566372,0.8879056047,3651.431858,4016,7128,0.01592920354,0.3362831858,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,343,19.87359428,score_margin,1000,2,642,567,0.8847352025,0.8800705467,0.8954144621,4426.483245,6917,7128,0.01410934744,0.3703703704,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,344,19.66479492,score_margin,1000,2,650,582,0.8692307692,0.8659793814,0.8837342497,3926.199313,5807.5,7128,0.01718213058,0.352233677,0.88,0,raps_k50_lam0p002,50,0.002
29,0,margin_rolling,345,20.92653894,score_margin,1000,2,586,501,0.9163822526,0.9061876248,0.9208250166,4277.40519,7003,7128,0.00998003992,0.4091816367,0.88,0,raps_k50_lam0p002,50,0.002
