seed,deletion_rate,method,query_count,label_count,cap_size,cap_label,cap_rank,answered_count,answer_rate,abstention_rate,answered_label_count,label_answer_rate,conditional_full_set_coverage,unconditional_full_set_recall,conditional_partial_answer_recall,unconditional_partial_answer_recall,conditional_label_recall,unconditional_label_recall,candidate_load,mean_answered_set_size,top1_accuracy_on_answered,full_vocabulary_answered_rate,median_answered_set_size,p90_answered_set_size,candidate_load_saved_vs_uncapped,candidate_load_reduction_vs_uncapped,unconditional_full_set_recall_loss_vs_uncapped,conditional_full_set_coverage_delta_vs_uncapped
29,0,rolling,33964,38596,500,500,500,11601,0.3415675421,0.6584324579,14482,0.3752202301,0.7537281269,0.2574490637,0.7919588555,0.2705074397,0.7660544124,0.2874391129,36.78765752,107.7024394,0.3883285924,0,51,315,3917.123307,0.9906958812,0.6437993169,-0.1475202538
29,0,rolling,33964,38596,1000,1000,1000,13185,0.3882051584,0.6117948416,16462,0.426520883,0.7660219947,0.2973736898,0.8029226634,0.3116987197,0.7793099259,0.3323919577,70.36747733,181.2636329,0.3670079636,0,72,558.6,3883.543487,0.9822030698,0.6038746908,-0.1352263859
29,0,rolling,33964,38596,2000,2000,2000,14744,0.4341067012,0.5658932988,18192,0.4713441807,0.7801139447,0.3386526911,0.813922182,0.3533290735,0.7915567282,0.3730956576,136.4535979,314.3319316,0.3497693977,0,98,1037.7,3817.457367,0.9654889553,0.5625956896,-0.121134436
29,0,rolling,33964,38596,3000,3000,3000,15118,0.4451183606,0.5548816394,18607,0.4820965903,0.7832385236,0.3486338476,0.8163206322,0.3633593015,0.7942709733,0.382915328,161.4180897,362.6408255,0.3460775235,0,106,1188,3792.492875,0.9591750823,0.552614533,-0.118009857
29,0,rolling,33964,38596,4000,4000,4000,15404,0.4535390413,0.5464609587,18938,0.4906726086,0.7859646845,0.3564656695,0.8185840464,0.3712598237,0.7968106453,0.3909731578,193.0142504,425.5736172,0.3442612308,0,113,1341.7,3760.896714,0.9511839664,0.5447827111,-0.1152836961
29,0,rolling,33964,38596,5000,5000,5000,16199,0.4769461783,0.5230538217,19816,0.5134210799,0.7948638805,0.3791072901,0.8261293074,0.394019216,0.804501413,0.4130479842,298.1927335,625.212544,0.3387246126,0,133,1856,3655.718231,0.9245828406,0.5221410906,-0.1063845002
29,0,rolling,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.9012483806,0.9012483806,0.9162437282,0.9162437282,0.8988237123,0.8988237123,3953.910965,3953.910965,0.2615416323,0.3430102461,5990.5,7128,0,0,0,0
29,0,static,33964,38596,1,1,1,1342,0.03951242492,0.9604875751,1840,0.04767333402,0.4910581222,0.01940289719,0.558937738,0.02208498541,0.4755434783,0.02267074308,0.03951242492,1,0.6520119225,0,1,1,2866.910611,0.999986218,0.8087681074,-0.3371128824
29,0,static,33964,38596,10,10,10,5279,0.1554292781,0.8445707219,6654,0.1724012851,0.5813601061,0.09036038158,0.627129582,0.09747429818,0.5773970544,0.0995439942,0.5900365092,3.796173518,0.5442318621,0,3,8,2866.360087,0.9997941937,0.737810623,-0.2468108985
29,0,static,33964,38596,50,50,50,9499,0.2796784831,0.7203215169,11673,0.3024406674,0.6304874197,0.1763337652,0.6716637257,0.1878498919,0.6359976013,0.192351539,3.8723943,13.84587851,0.4416254343,0,8,37,2863.077729,0.9986492983,0.6518372394,-0.1976835849
29,0,static,33964,38596,100,100,100,11680,0.3438935343,0.6561064657,14292,0.3702974401,0.6476027397,0.222706395,0.6861401595,0.2359591645,0.6556815001,0.2427971811,8.57231186,24.92722603,0.4065924658,0,13,70,2858.377812,0.9970099543,0.6054646096,-0.1805682649
29,0,static,33964,38596,250,250,250,14841,0.4369626664,0.5630373336,18097,0.4688827858,0.6690923792,0.2923683901,0.7067841608,0.3088382914,0.6785655081,0.3181676858,23.7305971,54.30806549,0.3665521191,0,25,161,2843.219527,0.9917227032,0.5358026145,-0.1590786254
29,0,static,33964,38596,500,500,500,16861,0.4964374043,0.5035625957,20463,0.5301844751,0.685605836,0.3403603816,0.721175169,0.3580183289,0.6952059815,0.3685874184,44.88985396,90.4239962,0.3487930728,0,35,275,2822.06027,0.9843422969,0.487810623,-0.1425651686
29,0,static,33964,38596,1000,1000,1000,18601,0.5476681192,0.4523318808,22365,0.5794641932,0.7017364658,0.3843186904,0.7349695101,0.4025193692,0.7098144422,0.4113120531,81.18749264,148.2421375,0.3346056664,0,47,478,2785.762631,0.9716815818,0.4438523142,-0.1264345388
29,0,static,33964,38596,2000,2000,2000,20134,0.5928041456,0.4071958544,24021,0.6223701938,0.7149101023,0.4238016724,0.7462377665,0.4423728416,0.7217851047,0.4492175355,145.5714286,245.5641204,0.3223403199,0,60,806.7,2721.378695,0.9492242898,0.4043693322,-0.1132609023
29,0,static,33964,38596,3000,3000,3000,20468,0.6026380874,0.3973619126,24384,0.6317753135,0.7177056869,0.4325167825,0.7486605689,0.4511713733,0.7242864173,0.4575862784,167.6977682,278.2727672,0.3204025796,0,63,916,2699.252355,0.9415065624,0.3956542221,-0.1104653177
