seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
17,0.3,rank_static,73,38596,33964,0.905767437,0.8951242492,0.8973773737,0.8992202528,0.005451575245,0.01093985507,0.3424657534,0.5616438356,3686,3686,3686,0,31419.61644,58
17,0.3,rank_expanding,73,38596,33964,0.9035910457,0.8926510423,0.894728296,0.8970561968,0.00654010916,0.01279670941,0.4109589041,0.6164383562,3608.965287,3608.965287,3608.965287,0,31419.61644,58
17,0.3,rank_rolling,73,38596,33964,0.8977355166,0.8861441526,0.8886960265,0.8909894791,0.01117382637,0.01864083706,0.4931506849,0.6164383562,3417.782858,3417.782858,3417.782858,0,1000,2.424657534
29,0.3,margin_static,73,38596,33964,0.8326510519,0.8368861147,0.8334506713,0.8560259182,0.0710670361,0.06683461857,0.9863013699,0.9863013699,3153.880579,1790.052821,7128,0.2859498292,31419.61644,58
29,0.3,margin_rolling,73,38596,33964,0.9003005493,0.9037510305,0.9035109283,0.918234062,0.008698907958,0.006423849436,0.4931506849,0.397260274,4116.356024,5852.830438,7128,0.4054292781,1000,2.424657534
29,0.3,rank_static,73,38596,33964,0.9025287595,0.8919149688,0.8932484739,0.8963553847,0.008209649323,0.01398170226,0.397260274,0.5479452055,4102,4102,4102,0,31419.61644,58
29,0.3,rank_expanding,73,38596,33964,0.9033578609,0.8928865858,0.8940202542,0.8970448402,0.007563400584,0.01316198992,0.4246575342,0.5342465753,4123.393152,4123.393152,4123.393152,0,31419.61644,58
29,0.3,rank_rolling,73,38596,33964,0.8991087159,0.8881757155,0.8899669852,0.8925022853,0.009820848305,0.01651873717,0.4657534247,0.5890410959,3911.425922,3911.425922,3911.425922,0,1000,2.424657534
43,0.3,margin_static,73,38596,33964,0.8242563996,0.8271405017,0.8234070527,0.8466585886,0.07978375078,0.07659294732,1,1,2930.511129,1210.198092,7128,0.2396949711,31419.61644,58
43,0.3,margin_rolling,73,38596,33964,0.8994455384,0.9001589919,0.8994875146,0.9161910635,0.009288066923,0.008722866321,0.4931506849,0.5205479452,3989.688935,5532.100253,7128,0.3588799906,1000,2.424657534
43,0.3,rank_static,73,38596,33964,0.8987718935,0.8877929572,0.8890310366,0.8922417854,0.009936553512,0.01627375102,0.5068493151,0.7123287671,3755,3755,3755,0,31419.61644,58
43,0.3,rank_expanding,73,38596,33964,0.8995491761,0.8886762454,0.8898928732,0.8930180976,0.009719488732,0.01572773514,0.5068493151,0.6438356164,3787.184931,3787.184931,3787.184931,0,31419.61644,58
43,0.3,rank_rolling,73,38596,33964,0.899238263,0.8881757155,0.8899855632,0.8925234562,0.009861799252,0.01646652606,0.4794520548,0.602739726,3763.329908,3763.329908,3763.329908,0,1000,2.424657534
59,0.3,margin_static,73,38596,33964,0.8187895119,0.8217524438,0.8171443011,0.8416604159,0.08621784097,0.08295236741,1,0.9863013699,2929.334619,1240.877812,7128,0.2360440466,31419.61644,58
59,0.3,margin_rolling,73,38596,33964,0.8999637268,0.9028677423,0.9020632818,0.9184318788,0.009133244942,0.007853625594,0.4931506849,0.4383561644,4098.307796,5837.325727,7128,0.3631197739,1000,2.424657534
59,0.3,rank_static,73,38596,33964,0.9030469479,0.8923566129,0.8936122127,0.8965479555,0.007799302025,0.01359818884,0.4520547945,0.602739726,3720,3720,3720,0,31419.61644,58
59,0.3,rank_expanding,73,38596,33964,0.9016219297,0.890855023,0.8921926034,0.8950807157,0.00850552425,0.01449904511,0.4657534247,0.6164383562,3670.916912,3670.916912,3670.916912,0,31419.61644,58
59,0.3,rank_rolling,73,38596,33964,0.8984091616,0.8872629843,0.8884690344,0.8915627752,0.01124079978,0.01831673934,0.5205479452,0.602739726,3581.564951,3581.564951,3581.564951,0,1000,2.424657534
71,0.3,margin_static,73,38596,33964,0.8194372474,0.8214580144,0.8168873579,0.8416662227,0.08546575331,0.08325646588,0.9863013699,0.9863013699,2849.958986,1126.849075,7128,0.2198504299,31419.61644,58
71,0.3,margin_rolling,73,38596,33964,0.8991864442,0.9007184077,0.9006920065,0.9160296243,0.00761912323,0.006880829133,0.6164383562,0.5479452055,3973.455512,5399.043222,7128,0.3268166294,1000,2.424657534
71,0.3,rank_static,73,38596,33964,0.9022696653,0.8915616535,0.893234472,0.8962860536,0.006991280291,0.01302885879,0.4520547945,0.6438356164,3688,3688,3688,0,31419.61644,58
71,0.3,rank_expanding,73,38596,33964,0.9016478392,0.890855023,0.892629244,0.8955696087,0.007551264006,0.01365570954,0.4931506849,0.6575342466,3677.695766,3677.695766,3677.695766,0,31419.61644,58
71,0.3,rank_rolling,73,38596,33964,0.9014146544,0.8905017077,0.8923106875,0.8952634021,0.007658249632,0.01420190081,0.4794520548,0.6712328767,3666.700742,3666.700742,3666.700742,0,1000,2.424657534
