seed,deletion_rate,candidate,k_reg,penalty,threshold,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,full_vocabulary_set_rate,selected,selection_feasible,selection_target_coverage,selection_coverage_tolerance,selection_observed_label_coverage,selection_full_set_coverage,selection_mean_size,selection_p90_size
17,0.3,raps_k100_lam0p002,100,0.002,7.437406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p0001,250,0.0001,1.2463,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p0005,250,0.0005,2.464437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p001,250,0.001,4.01378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k250_lam0p002,250,0.002,7.137406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k500_lam0p0001,500,0.0001,1.2213,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k500_lam0p0005,500,0.0005,2.339437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k500_lam0p001,500,0.001,3.76378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k500_lam0p002,500,0.002,6.637406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k1000_lam0p0001,1000,0.0001,1.1713,0.9006589786,0.8935776421,0.8988833364,3256.487322,2746.238571,4690.944549,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k1000_lam0p0005,1000,0.0005,2.089437957,0.8978583196,0.8908014066,0.8952279598,3333.424764,3184.073293,3783.620063,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k1000_lam0p001,1000,0.001,3.26378826,0.8968698517,0.8898759948,0.8939786538,3345.790672,3266.027577,3588.949324,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
17,0.3,raps_k1000_lam0p002,1000,0.002,5.637406011,0.8973640857,0.8906163243,0.8944413597,3360.715713,3319.464187,3487.058486,0,False,True,0.9,0.02,0.9006589786,0.8935776421,3256.487322,4690.944549
29,0,aps,0,0,0.9999911455,0.876276771,0.8900610772,0.8992843482,4816.882288,6829.845456,7126.559615,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k50_lam0p0001,50,0.0001,1.246045788,0.8981878089,0.8902461595,0.8943950891,3005.181936,2522.849713,4528.691431,0,True,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k50_lam0p0005,50,0.0005,2.445011818,0.894892916,0.8863594299,0.8903078537,3083.776421,2941.65223,3565.963502,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k50_lam0p001,50,0.001,4.002983998,0.8950576606,0.8861743476,0.8904003948,3128.603554,3053.413659,3386.870887,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k50_lam0p002,50,0.002,7.123486367,0.8945634267,0.8856191005,0.8896137948,3150.463076,3111.940218,3284.358801,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k100_lam0p0001,100,0.0001,1.241045788,0.8981878089,0.8902461595,0.8943950891,3005.181936,2522.849713,4528.691431,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k100_lam0p0005,100,0.0005,2.420011818,0.894892916,0.8863594299,0.8903078537,3083.776421,2941.65223,3565.963502,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k100_lam0p001,100,0.001,3.952983998,0.8950576606,0.8861743476,0.8904003948,3128.603554,3053.413659,3386.870887,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k100_lam0p002,100,0.002,7.023486367,0.8945634267,0.8856191005,0.8896137948,3150.463076,3111.940218,3284.358801,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k250_lam0p0001,250,0.0001,1.226045788,0.8981878089,0.8902461595,0.8943950891,3005.181936,2522.849713,4528.691431,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k250_lam0p0005,250,0.0005,2.345011818,0.894892916,0.8863594299,0.8903078537,3083.776421,2941.65223,3565.963502,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k250_lam0p001,250,0.001,3.802983998,0.8950576606,0.8861743476,0.8904003948,3128.603554,3053.413659,3386.870887,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k250_lam0p002,250,0.002,6.723486367,0.8945634267,0.8856191005,0.8896137948,3150.463076,3111.940218,3284.358801,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k500_lam0p0001,500,0.0001,1.201045788,0.8981878089,0.8902461595,0.8943950891,3005.181936,2522.849713,4528.691431,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k500_lam0p0005,500,0.0005,2.220011818,0.894892916,0.8863594299,0.8903078537,3083.776421,2941.65223,3565.963502,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k500_lam0p001,500,0.001,3.552983998,0.8950576606,0.8861743476,0.8904003948,3128.603554,3053.413659,3386.870887,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k500_lam0p002,500,0.002,6.223486367,0.8945634267,0.8856191005,0.8896137948,3150.463076,3111.940218,3284.358801,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k1000_lam0p0001,1000,0.0001,1.151045788,0.8981878089,0.8902461595,0.8943950891,3005.181936,2522.849713,4528.691431,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k1000_lam0p0005,1000,0.0005,1.970011818,0.894892916,0.8863594299,0.8903078537,3083.776421,2941.65223,3565.963502,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k1000_lam0p001,1000,0.001,3.052983998,0.8950576606,0.8861743476,0.8904003948,3128.603554,3053.413659,3386.870887,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0,raps_k1000_lam0p002,1000,0.002,5.223486367,0.8945634267,0.8856191005,0.8896137948,3150.463076,3111.940218,3284.358801,0,False,True,0.9,0.02,0.8981878089,0.8902461595,3005.181936,4528.691431
29,0.1,aps,0,0,0.9999818684,0.871169687,0.8867295947,0.8951014868,4753.525819,6750.30409,7125.786785,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
