seed,deletion_rate,extra_delay_blocks,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size,pool_score_count_mean,pool_span_blocks_mean
59,0.3,1,static,38596,0.8187895119,0.813782159,0.08621784097,1,2712.591668,670.132449,7128,30895.75342,58
59,0.3,1,rolling,38596,0.8987200746,0.8982374019,0.009734467161,0.4931506849,3804.261633,4637.262618,7128,1000,3.424657534
71,0.3,1,static,38596,0.8194372474,0.8146341759,0.08546575331,0.9863013699,2635.305343,611.7065499,7128,30895.75342,58
71,0.3,1,rolling,38596,0.8967768681,0.8978105138,0.008989981496,0.5342465753,3677.121515,4102.394056,7128,1000,3.424657534
17,0.3,3,static,38596,0.8222872837,0.8187100434,0.08128995657,1,2749.87636,773.89302,7128,29867.09589,58
17,0.3,3,rolling,38596,0.8932790963,0.8940633906,0.01319900644,0.602739726,3791.999974,4583.532283,7128,1000,5.342465753
29,0.3,3,static,38596,0.8326510519,0.8290745303,0.0710670361,0.9863013699,2926.770702,1046.256166,7128,29867.09589,58
29,0.3,3,rolling,38596,0.8942118354,0.8947268461,0.0122187918,0.5753424658,3764.147217,4212.877345,7128,1000,5.342465753
43,0.3,3,static,38596,0.8242563996,0.8202162492,0.07978375078,1,2718.38846,639.49829,7128,29867.09589,58
43,0.3,3,rolling,38596,0.8928645455,0.8931371813,0.01438332061,0.6164383562,3636.395611,3518.257332,7128,1000,5.342465753
59,0.3,3,static,38596,0.8187895119,0.813782159,0.08621784097,1,2712.591668,670.132449,7128,29867.09589,58
59,0.3,3,rolling,38596,0.8930459115,0.8930980159,0.01348225421,0.6438356164,3743.02394,4337.873873,7128,1000,5.342465753
71,0.3,3,static,38596,0.8194372474,0.8146341759,0.08546575331,0.9863013699,2635.305343,611.7065499,7128,29867.09589,58
71,0.3,3,rolling,38596,0.8939268318,0.8947727205,0.01144486543,0.602739726,3614.725542,3603.637812,7128,1000,5.342465753
17,0.3,7,static,38596,0.8222872837,0.8187100434,0.08128995657,1,2749.87636,773.89302,7128,27862.76712,58
17,0.3,7,rolling,38596,0.8875790237,0.8876064597,0.01702181955,0.6712328767,3703.564463,4204.813815,7128,1000,9.02739726
29,0.3,7,static,38596,0.8326510519,0.8290745303,0.0710670361,0.9863013699,2926.770702,1046.256166,7128,27862.76712,58
29,0.3,7,rolling,38596,0.8904808788,0.8899104605,0.01559610763,0.6575342466,3690.263473,3896.496787,7128,1000,9.02739726
43,0.3,7,static,38596,0.8242563996,0.8202162492,0.07978375078,1,2718.38846,639.49829,7128,27862.76712,58
43,0.3,7,rolling,38596,0.887656752,0.8865461853,0.01842013452,0.7123287671,3579.947663,3262.206394,7128,1000,9.02739726
59,0.3,7,static,38596,0.8187895119,0.813782159,0.08621784097,1,2712.591668,670.132449,7128,27862.76712,58
59,0.3,7,rolling,38596,0.8883044875,0.8865953448,0.0177329299,0.6575342466,3668.364805,3916.609182,7128,1000,9.02739726
71,0.3,7,static,38596,0.8194372474,0.8146341759,0.08546575331,0.9863013699,2635.305343,611.7065499,7128,27862.76712,58
71,0.3,7,rolling,38596,0.8880972121,0.8876622004,0.01667902807,0.7123287671,3540.252928,3223.046948,7128,1000,9.02739726
