seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
59,0.2,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8977741138,0.9137995085,0.896465955,3880.434607,5462,7128,0.0168119185,0.6408839779,0.7991528084,2.34690317,0.3175126605,0.5443931828,1
59,0.2,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2191143564,0.2346151644,0.2231319308,1,1,1,1,0,0.1530879455,2.34690317,0,0.000140291807,0.000140291807
59,0.3,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8217524438,0.8416604159,0.8187895119,2929.334266,547,7128,0.03327052173,0.492875836,0.6894894926,2.34690317,0.2360440466,0.4109615973,1
59,0.3,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9028677423,0.9184318788,0.8999637268,4098.308003,6492,7128,0.008891767754,0.6490258796,0.8027392647,2.34690317,0.3631197739,0.5749590352,1
59,0.3,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.9018961253,0.9175780335,0.8990828065,4081.997321,6451,7128,0.009127311271,0.646699622,0.8015761359,2.34690317,0.3609409963,0.5726707801,1
59,0.3,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.9020138971,0.9176958053,0.8991864442,4083.56448,6455,7128,0.009127311271,0.646699622,0.8015761359,2.34690317,0.3610587681,0.5728906397,1
59,0.3,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2177599812,0.2336320506,0.2226655612,1,1,1,1,0,0.1567545706,2.34690317,0,0.000140291807,0.000140291807
71,0,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8174243316,0.8373123947,0.8171831278,2643.46829,349,7128,0.037039218,0.4954928758,0.6919099083,2.34690317,0.1977387822,0.370856943,1
71,0,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8973324697,0.9134701009,0.8989532594,3728.098663,4527.5,7128,0.01263102108,0.6536783949,0.8130556866,2.34690317,0.2917206454,0.523021698,1
71,0,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8965963962,0.9127732846,0.898253705,3713.424685,4444,7128,0.01283712166,0.6525152661,0.8122802673,2.34690317,0.2903073843,0.5209630591,1
71,0,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8967436109,0.9129278601,0.8984091616,3716.024909,4458,7128,0.01280767872,0.6525152661,0.8123529629,2.34690317,0.2904840419,0.5213278491,1
71,0,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2225886232,0.2382952515,0.2265260649,1,1,1,1,0,0.1551206515,2.34690317,0,0.000140291807,0.000140291807
