seed,deletion_rate,method,prediction_side,base_relation_id,relation_label,label_count,query_count,label_coverage,mean_size,median_size,p90_size,mrr,top1_accuracy,unique_query_count,positive_undercoverage,full_vocabulary_set_rate,normalized_mean_size,query_full_set_coverage,query_partial_answer_recall,multi_answer_query_fraction,max_answer_count
17,0,static,object,204,76,21,21,1,6514.095238,7128,7128,0.2287172015,0.1904761905,21,0,0.8095238095,0.9138741917,1,1,0,1
17,0,static,object,205,77,17,17,1,7094.647059,7128,7128,0.4239695982,0.3529411765,16,0,0.7058823529,0.9953208556,1,1,0.0625,2
17,0,static,object,206,78,10,10,1,4421.9,7127.5,7128,0.6236024845,0.5,10,0,0.5,0.6203563412,1,1,0,1
17,0,static,object,207,79,14,14,1,6246.5,7128,7128,0.4776514859,0.3571428571,14,0,0.6428571429,0.8763327722,1,1,0,1
17,0,static,object,208,8,601,601,0.7986688852,2448.990017,198,7128,0.3326547461,0.2412645591,560,0.1013311148,0.1680532446,0.3435732347,0.8053571429,0.8226785714,0.0625,5
17,0,static,object,209,80,10,10,1,6390.3,7128,7128,0.549319214,0.5,10,0,0.7,0.896506734,1,1,0,1
17,0,static,object,210,81,18,18,1,4357.722222,5447.5,7128,0.2985296308,0.1666666667,16,0,0.2222222222,0.6113527248,1,1,0.125,2
17,0,static,object,211,82,14,14,1,6361.5,7128,7128,0.3127662537,0.2142857143,14,0,0.6428571429,0.89246633,1,1,0,1
17,0,static,object,212,83,2,2,1,5325,5325,6767.4,0.02948503551,0,2,0,0.5,0.7470538721,1,1,0,1
17,0,static,object,213,84,7,7,1,6128.285714,7128,7128,0.2977810405,0.1428571429,7,0,0.7142857143,0.8597482764,1,1,0,1
17,0,static,object,214,85,9,9,1,3840.333333,1913,7128,0.5013760022,0.4444444444,9,0,0.3333333333,0.5387673027,1,1,0,1
17,0,static,object,215,86,13,13,1,7048,7128,7128,0.1392369475,0.07692307692,13,0,0.9230769231,0.9887766554,1,1,0,1
17,0,static,object,216,87,18,18,1,7105.222222,7128,7128,0.3315084711,0.2222222222,17,0,0.8888888889,0.9968044644,1,1,0.05882352941,2
17,0,static,object,217,88,10,10,1,7117.7,7128,7128,0.4117221984,0.4,10,0,0.8,0.9985549944,1,1,0,1
17,0,static,object,218,89,6,6,1,6374.666667,7128,7128,0.5864116309,0.5,6,0,0.6666666667,0.8943135054,1,1,0,1
17,0,static,object,219,9,480,480,0.8166666667,1932.69375,42.5,7128,0.4302968003,0.3145833333,450,0.08333333333,0.125,0.2711410985,0.8177777778,0.8266666667,0.05777777778,4
17,0,static,object,220,90,9,9,1,5632.111111,7128,7128,0.3005594029,0.2222222222,9,0,0.7777777778,0.7901390448,1,1,0,1
17,0,static,object,221,91,8,8,1,5294.75,7127,7128,0.5209234063,0.5,8,0,0.5,0.7428100449,1,1,0,1
17,0,static,object,222,92,9,9,1,5672.777778,7128,7128,0.5656987747,0.4444444444,9,0,0.6666666667,0.7958442449,1,1,0,1
17,0,static,object,223,93,4,4,1,7117,7128,7128,0.1290763127,0,4,0,0.75,0.9984567901,1,1,0,1
17,0,static,object,224,94,9,9,1,7014,7128,7128,0.4671095988,0.4444444444,9,0,0.8888888889,0.984006734,1,1,0,1
