seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate
17,0,margin_static,328,14.88379383,score_margin,32034,58,600,526,0.8183333333,0.8326996198,0.8488502625,2825.821293,547.5,7128,0.03802281369,0.216730038
17,0,margin_rolling,328,18.77626848,score_margin,1000,2,600,526,0.8933333333,0.8992395437,0.9159967409,4101.498099,6435,7128,0.01330798479,0.3384030418
17,0,rank_static,328,3547,rank,32034,58,600,526,0.935,0.9258555133,0.9287072243,3547,3547,3547,0,0
17,0,rank_expanding,328,3490,rank,32034,58,600,526,0.9266666667,0.9163498099,0.9201520913,3490,3490,3490,0,0
17,0,rank_rolling,328,2331,rank,1000,2,600,526,0.905,0.891634981,0.8963878327,2331,2331,2331,0,0
17,0,margin_static,329,14.88379383,score_margin,32634,59,684,599,0.831871345,0.8313856427,0.855147468,2855.63773,509,7128,0.03338898164,0.2186978297
17,0,margin_rolling,329,20.07390404,score_margin,1000,2,684,599,0.9210526316,0.9215358932,0.9311630495,4375.552588,6966,7128,0.005008347245,0.3806343907
17,0,rank_static,329,3547,rank,32634,59,684,599,0.9005847953,0.8914858097,0.9001112966,3547,3547,3547,0,0
17,0,rank_expanding,329,3477,rank,32634,59,684,599,0.8932748538,0.8831385643,0.8928770173,3477,3477,3477,0,0
17,0,rank_rolling,329,2666,rank,1000,2,684,599,0.8713450292,0.858096828,0.8695047301,2666,2666,2666,0,0
17,0,margin_static,330,14.88379383,score_margin,33318,60,640,580,0.8296875,0.8379310345,0.8501436782,2732.115517,549.5,7128,0.03275862069,0.1982758621
17,0,margin_rolling,330,18.4741168,score_margin,1000,2,640,580,0.9125,0.9189655172,0.9277298851,3879.275862,5351,7128,0.01206896552,0.3172413793
17,0,rank_static,330,3547,rank,33318,60,640,580,0.9125,0.9034482759,0.9043103448,3547,3547,3547,0,0
17,0,rank_expanding,330,3486,rank,33318,60,640,580,0.9046875,0.8948275862,0.8956896552,3486,3486,3486,0,0
