seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
43,0.2,weighted_count_500,38596,0.8982018862,0.8979746913,0.008800787905,0.5479452055,3587.643512,3456.340424,7128
59,0.2,weighted_count_500,38596,0.8964918644,0.8962791995,0.01175432891,0.5753424658,3628.225231,3625.988574,7128
71,0.2,weighted_count_500,38596,0.897450513,0.8984193681,0.009323649955,0.5342465753,3594.5057,3494.602161,7128
17,0.2,weighted_count_1000,38596,0.8978132449,0.8983308554,0.008543113304,0.4931506849,3719.101254,4282.429449,7128
29,0.2,weighted_count_1000,38596,0.8982277956,0.8982714091,0.00946796627,0.5616438356,3823.859519,4846.554617,7128
43,0.2,weighted_count_1000,38596,0.8974246036,0.8973968284,0.008476041804,0.5890410959,3583.698881,3365.36224,7128
59,0.2,weighted_count_1000,38596,0.896465955,0.896276553,0.01011005061,0.602739726,3623.144341,3727.452119,7128
71,0.2,weighted_count_1000,38596,0.8970359623,0.8978101363,0.008936570535,0.5890410959,3580.74645,3349.751632,7128
17,0.2,weighted_count_2000,38596,0.895170484,0.8965569316,0.009747998249,0.5616438356,3672.687403,3953.824956,7128
29,0.2,weighted_count_2000,38596,0.8962845891,0.8973080722,0.009449974268,0.5342465753,3777.917815,4603.647606,7128
43,0.2,weighted_count_2000,38596,0.8955850347,0.8959832941,0.009352079566,0.602739726,3538.075992,3168.157089,7128
59,0.2,weighted_count_2000,38596,0.8948854804,0.895294286,0.01037181979,0.5890410959,3581.251995,3347.117447,7128
71,0.2,weighted_count_2000,38596,0.8954554876,0.8966090881,0.009551707563,0.5753424658,3547.014121,3101.082547,7128
17,0.2,time_window_3,38596,0.8955850347,0.8967911003,0.009668686379,0.5342465753,3676.668023,4059.522463,7128
29,0.2,time_window_3,38596,0.8952741217,0.8961445187,0.0105509841,0.5342465753,3771.691419,4569.058529,7128
43,0.2,time_window_3,38596,0.8960773137,0.8964575484,0.009285399052,0.5890410959,3550.966732,3231.524847,7128
59,0.2,time_window_3,38596,0.8948336615,0.8950685483,0.01069461576,0.6301369863,3585.512618,3484.675329,7128
71,0.2,time_window_3,38596,0.8959218572,0.8969716451,0.009740288873,0.5616438356,3554.191652,3173.957716,7128
17,0.2,time_window_7,38596,0.8928127267,0.8936657099,0.01145554266,0.6712328767,3630.358586,3785.725982,7128
29,0.2,time_window_7,38596,0.8928645455,0.8934670057,0.01182719755,0.602739726,3730.006089,4381.642035,7128
43,0.2,time_window_7,38596,0.8929163644,0.8933654682,0.01126777409,0.7123287671,3487.35071,2797.88776,7128
59,0.2,time_window_7,38596,0.8917504405,0.89228262,0.01244949529,0.6712328767,3533.494792,3016.53262,7128
71,0.2,time_window_7,38596,0.8929422738,0.8940534464,0.01064823689,0.602739726,3492.202327,2793.934941,7128
17,0.2,time_window_14,38596,0.887656752,0.8886545996,0.014988948,0.7534246575,3535.646388,3162.559203,7128
