seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,static,316,758,14.88379383,22628,46,,0.8522427441,2739.186016,786,7128,3
17,0,rolling,316,758,17.4004364,1000,6,,0.9036939314,3662.936675,4142,7128,3
17,0,static,316,758,14.88379383,20484,46,,0.8522427441,2739.186016,786,7128,7
17,0,rolling,316,758,18.1419684,1000,9,,0.9116094987,3917.328496,5319,7128,7
17,0,static,317,630,14.88379383,25632,47,,0.8380952381,2205.734921,178.5,7128,0
17,0,rolling,317,630,17.81591392,1000,2,,0.8873015873,3131.17619,983.5,7128,0
17,0,static,317,630,14.88379383,24874,47,,0.8380952381,2205.734921,178.5,7128,1
17,0,rolling,317,630,19.05775833,1000,3,,0.9031746032,3485.287302,1928.5,7128,1
17,0,static,317,630,14.88379383,23422,47,,0.8380952381,2205.734921,178.5,7128,3
17,0,rolling,317,630,17.77472782,1000,5,,0.8873015873,3118.195238,969,7128,3
17,0,static,317,630,14.88379383,21110,47,,0.8380952381,2205.734921,178.5,7128,7
17,0,rolling,317,630,17.70560127,1000,9,,0.8857142857,3099.365079,945.5,7128,7
17,0,static,318,342,14.88379383,26262,48,,0.8362573099,2292.160819,146,7128,0
17,0,rolling,318,342,19.09903145,1000,2,,0.9152046784,3348.853801,1274.5,7128,0
17,0,static,318,342,14.88379383,25632,48,,0.8362573099,2292.160819,146,7128,1
17,0,rolling,318,342,17.81591392,1000,3,,0.9005847953,2984.333333,602.5,7128,1
17,0,static,318,342,14.88379383,24100,48,,0.8362573099,2292.160819,146,7128,3
17,0,rolling,318,342,18.27017021,1000,5,,0.9005847953,3146.859649,743.5,7128,3
17,0,static,318,342,14.88379383,21730,48,,0.8362573099,2292.160819,146,7128,7
17,0,rolling,318,342,16.87587738,1000,9,,0.8771929825,2734.55848,364.5,7128,7
17,0,static,319,324,14.88379383,26604,49,,0.8641975309,2401.58642,310,7128,0
17,0,rolling,319,324,18.77629185,1000,3,,0.9197530864,3548.537037,2450.5,7128,0
17,0,static,319,324,14.88379383,26262,49,,0.8641975309,2401.58642,310,7128,1
17,0,rolling,319,324,19.09903145,1000,3,,0.9228395062,3638.441358,4248.5,7128,1
17,0,static,319,324,14.88379383,24874,49,,0.8641975309,2401.58642,310,7128,3
17,0,rolling,319,324,19.05775833,1000,5,,0.9228395062,3626.691358,4160.5,7128,3
17,0,static,319,324,14.88379383,22168,49,,0.8641975309,2401.58642,310,7128,7
17,0,rolling,319,324,16.40095425,1000,9,,0.8919753086,2809.873457,645,7128,7
17,0,static,320,736,14.88379383,26928,50,,0.8288043478,2931.368207,550,7128,0
17,0,rolling,320,736,18.65745962,1000,3,,0.8967391304,3938.427989,6346.5,7128,0
17,0,static,320,736,14.88379383,26604,50,,0.8288043478,2931.368207,550,7128,1
17,0,rolling,320,736,18.77629185,1000,4,,0.8994565217,3969.240489,6477.5,7128,1
17,0,static,320,736,14.88379383,25632,50,,0.8288043478,2931.368207,550,7128,3
17,0,rolling,320,736,17.81591392,1000,5,,0.8804347826,3749.03125,5170,7128,3
17,0,static,320,736,14.88379383,22628,50,,0.8288043478,2931.368207,550,7128,7
17,0,rolling,320,736,17.4004364,1000,10,,0.8777173913,3640.192935,4412.5,7128,7
17,0,static,321,680,14.88379383,27664,51,,0.8514705882,2767.129412,564,7128,0
17,0,rolling,321,680,18.42174265,1000,2,,0.9220588235,3936.738235,5900.5,7128,0
17,0,static,321,680,14.88379383,26928,51,,0.8514705882,2767.129412,564,7128,1
17,0,rolling,321,680,18.65745962,1000,4,,0.9220588235,4008.961765,6184.5,7128,1
17,0,static,321,680,14.88379383,26262,51,,0.8514705882,2767.129412,564,7128,3
17,0,rolling,321,680,19.09903145,1000,5,,0.9235294118,4124.720588,6631,7128,3
17,0,static,321,680,14.88379383,23422,51,,0.8514705882,2767.129412,564,7128,7
17,0,rolling,321,680,17.77472782,1000,9,,0.9176470588,3732.194118,4720,7128,7
17,0,static,322,668,14.88379383,28344,52,,0.8443113772,2926.333832,626.5,7128,0
17,0,rolling,322,668,18.3113308,1000,2,,0.9221556886,3970.371257,5976,7128,0
17,0,static,322,668,14.88379383,27664,52,,0.8443113772,2926.333832,626.5,7128,1
17,0,rolling,322,668,18.42174265,1000,3,,0.9221556886,4002.124251,6095,7128,1
17,0,static,322,668,14.88379383,26604,52,,0.8443113772,2926.333832,626.5,7128,3
17,0,rolling,322,668,18.77629185,1000,6,,0.9281437126,4091.068862,6422.5,7128,3
17,0,static,322,668,14.88379383,24100,52,,0.8443113772,2926.333832,626.5,7128,7
17,0,rolling,322,668,18.27017021,1000,9,,0.9221556886,3956.508982,5932,7128,7
17,0,static,323,668,14.88379383,29012,53,,0.8173652695,2727.217066,664.5,7128,0
17,0,rolling,323,668,17.26950002,1000,2,,0.875748503,3573.005988,3986,7128,0
17,0,static,323,668,14.88379383,28344,53,,0.8173652695,2727.217066,664.5,7128,1
17,0,rolling,323,668,18.3113308,1000,3,,0.8922155689,3843.866766,5335.5,7128,1
17,0,static,323,668,14.88379383,26928,53,,0.8173652695,2727.217066,664.5,7128,3
17,0,rolling,323,668,18.65745962,1000,6,,0.9071856287,3932.968563,5777,7128,3
17,0,static,323,668,14.88379383,24874,53,,0.8173652695,2727.217066,664.5,7128,7
17,0,rolling,323,668,19.05775833,1000,9,,0.9131736527,4027.821856,6162,7128,7
17,0,static,324,796,14.88379383,29680,54,,0.7977386935,2557.997487,304.5,7128,0
17,0,rolling,324,796,18.56366777,1000,2,,0.8894472362,3485.875628,1942,7128,0
17,0,static,324,796,14.88379383,29012,54,,0.7977386935,2557.997487,304.5,7128,1
17,0,rolling,324,796,17.26950002,1000,3,,0.8592964824,3172.777638,1014,7128,1
17,0,static,324,796,14.88379383,27664,54,,0.7977386935,2557.997487,304.5,7128,3
17,0,rolling,324,796,18.42174265,1000,5,,0.8881909548,3448.93593,1831.5,7128,3
17,0,static,324,796,14.88379383,25632,54,,0.7977386935,2557.997487,304.5,7128,7
17,0,rolling,324,796,17.81591392,1000,9,,0.8768844221,3299.16206,1346,7128,7
17,0,static,325,398,14.88379383,30476,55,,0.7688442211,2533.251256,168,7128,0
17,0,rolling,325,398,18.85798836,1000,2,,0.8969849246,3427.550251,1483,7128,0
17,0,static,325,398,14.88379383,29680,55,,0.7688442211,2533.251256,168,7128,1
17,0,rolling,325,398,18.56366777,1000,3,,0.891959799,3362.253769,1221.5,7128,1
17,0,static,325,398,14.88379383,28344,55,,0.7688442211,2533.251256,168,7128,3
17,0,rolling,325,398,18.3113308,1000,5,,0.8844221106,3309.515075,1040,7128,3
17,0,static,325,398,14.88379383,26262,55,,0.7688442211,2533.251256,168,7128,7
17,0,rolling,325,398,19.09903145,1000,9,,0.9020100503,3487.61809,1760.5,7128,7
17,0,static,326,422,14.88379383,30874,56,,0.7701421801,1929.654028,105,7128,0
17,0,rolling,326,422,18.47715044,1000,2,,0.8767772512,2734.817536,346,7128,0
17,0,static,326,422,14.88379383,30476,56,,0.7701421801,1929.654028,105,7128,1
17,0,rolling,326,422,18.85798836,1000,3,,0.8886255924,2823.919431,393.5,7128,1
17,0,static,326,422,14.88379383,29012,56,,0.7701421801,1929.654028,105,7128,3
17,0,rolling,326,422,17.26950002,1000,5,,0.8293838863,2448.327014,238,7128,3
